电影名称,电影类型,上映时间
你好，李焕英,"喜剧 , 剧情",2021-02-12 08:00中国大陆上映
电影名称,电影类型,上映时间
新神榜：哪吒重生,"动作 , 奇幻 , 动画",2021-02-12 08:00中国大陆上映
电影名称,电影类型,上映时间
许愿神龙,"动画 , 喜剧 , 奇幻",2021-01-15 10:00中国大陆上映
电影名称,电影类型,上映时间
海底小纵队：火焰之环,"动画 , 奇幻 , 冒险",2021-01-08中国大陆上映
电影名称,电影类型,上映时间
人潮汹涌,"剧情 , 喜剧 , 爱情",2021-02-12 08:00中国大陆上映
电影名称,电影类型,上映时间
崖上的波妞,"动画 , 奇幻 , 冒险",2020-12-31中国大陆上映
电影名称,电影类型,上映时间
唐人街探案3,"喜剧 , 悬疑",2021-02-12 08:00中国大陆上映
电影名称,电影类型,上映时间
送你一朵小红花,"剧情 , 家庭",2020-12-31 18:00中国大陆上映
电影名称,电影类型,上映时间
心灵奇旅,"动画 , 喜剧 , 冒险",2020-12-25 12:00中国大陆上映
电影名称,电影类型,上映时间
你好，李焕英,"喜剧 , 剧情",2021-02-12 08:00中国大陆上映
电影名称,电影类型,上映时间
熊出没・狂野大陆,"喜剧 , 科幻 , 动画",2021-02-12 08:00中国大陆上映
新神榜：哪吒重生,"动作 , 奇幻 , 动画",2021-02-12 08:00中国大陆上映
海底小纵队：火焰之环,"动画 , 奇幻 , 冒险",2021-01-08中国大陆上映
送你一朵小红花,"剧情 , 家庭",2020-12-31 18:00中国大陆上映
许愿神龙,"动画 , 喜剧 , 奇幻",2021-01-15 10:00中国大陆上映
熊出没・狂野大陆,"喜剧 , 科幻 , 动画",2021-02-12 08:00中国大陆上映
崖上的波妞,"动画 , 奇幻 , 冒险",2020-12-31中国大陆上映
人潮汹涌,"剧情 , 喜剧 , 爱情",2021-02-12 08:00中国大陆上映
唐人街探案3,"喜剧 , 悬疑",2021-02-12 08:00中国大陆上映
心灵奇旅,"动画 , 喜剧 , 冒险",2020-12-25 12:00中国大陆上映
你好，李焕英,"喜剧 , 剧情",2021-02-12 08:00中国大陆上映
